1667882740.806248,0
1667882740.912165,20
1667882741.017828,19
1667882741.123945,20
1667882741.228786,17
1667882741.335115,15
1667882741.439845,14
1667882741.546523,15
1667882741.651523,15
1667882741.756833,16
1667882741.860565,19
1667882741.965869,16
1667882742.073631,13
1667882742.178468,13
1667882742.284987,15
1667882742.389827,11
1667882742.495701,17
1667882742.602547,20
1667882742.708012,18
1667882742.820043,18
1667882742.926278,7
1667882743.032183,8
1667882743.139690,18
1667882743.246330,19
1667882743.353278,19
1667882743.457779,3
1667882743.563081,5
1667882743.668849,7
1667882743.774007,7
1667882743.879042,9
1667882743.984177,10
1667882744.092723,11
1667882744.199939,10
1667882744.305284,11
1667882744.409318,12
1667882744.513461,16
1667882744.618323,19
1667882744.722769,15
1667882744.832910,10
1667882744.937536,19
1667882745.043924,1
1667882745.150571,4
1667882745.256898,6
1667882745.362895,7
1667882745.470219,20
1667882745.575807,19
1667882745.680726,14
1667882745.786727,5
1667882745.891694,6
1667882745.996940,7
1667882746.101408,9
1667882746.206193,10
1667882746.311035,10
1667882746.416122,12
1667882746.520939,12
1667882746.626028,12
1667882746.733287,13
1667882746.837964,14
1667882746.945331,13
1667882747.052925,19
1667882747.158925,18
1667882747.263996,13
1667882747.368542,10
1667882747.473501,12
1667882747.579342,13
1667882747.685453,15
1667882747.790421,11
1667882747.896443,16
1667882748.002816,8
1667882748.110798,5
1667882748.216764,19
1667882748.321332,18
1667882748.426550,3
1667882748.531706,5
1667882748.639100,8
1667882748.744236,9
1667882748.848840,9
1667882748.952959,11
1667882749.062817,10
1667882749.169961,11
1667882749.276789,11
1667882749.381417,12
1667882749.486469,13
1667882749.591312,14
1667882749.695450,16
1667882749.799536,19
1667882749.903655,10
1667882750.009002,9
1667882750.113817,11
1667882750.218691,20
1667882750.322977,19
1667882750.430848,11
1667882750.537523,20
1667882750.642422,4
1667882750.747942,4
1667882750.859870,4
1667882750.965006,7
1667882751.069415,7
1667882751.175065,9
1667882751.280380,9
1667882751.385716,12
1667882751.490736,13
1667882751.595151,12
1667882751.703103,19
1667882751.806728,20
1667882751.912470,17
1667882752.019124,11
1667882752.123996,11
1667882752.228877,13
1667882752.335031,12
1667882752.439981,18
1667882752.546279,20
1667882752.651256,19
1667882752.755687,9
1667882752.863692,19
1667882752.969507,0
1667882753.077334,3
1667882753.191499,6
1667882753.301398,4
1667882753.416774,8
1667882753.523085,9
1667882753.628853,11
1667882753.734360,11
1667882753.839292,11
1667882753.946861,12
1667882754.053024,14
1667882754.159106,14
1667882754.267591,13
1667882754.373505,17
1667882754.482001,11
1667882754.587092,10
1667882754.691878,12
1667882754.796677,13
1667882754.903434,13
1667882755.008827,14
1667882755.114410,13
1667882755.229904,20
1667882755.335044,18
1667882755.440577,17
1667882755.546571,7
1667882755.652965,19
1667882755.759240,19
1667882755.864594,3
1667882755.969065,5
1667882756.074310,6
1667882756.179013,7
1667882756.283730,9
1667882756.389204,10
1667882756.495231,10
1667882756.599749,10
1667882756.705210,12
1667882756.810377,13
1667882756.919171,14
1667882757.023491,14
1667882757.127901,19
1667882757.233585,19
1667882757.338995,7
1667882757.444233,10
1667882757.552904,14
1667882757.656775,20
1667882757.760960,0
1667882757.866654,2
1667882757.972359,8
1667882758.077062,13
1667882758.181988,20
1667882758.290522,7
1667882758.397932,6
1667882758.503642,4
1667882758.610253,8
1667882758.716237,7
1667882758.821789,9
1667882758.928595,10
1667882759.033707,11
1667882759.138473,12
1667882759.244131,12
1667882759.349014,13
1667882759.459030,13
1667882759.563972,15
1667882759.672840,15
1667882759.777123,19
1667882759.882125,11
1667882759.989369,10
1667882760.094473,13
1667882760.200100,12
1667882760.306112,15
1667882760.413442,19
1667882760.518531,19
1667882760.626635,19
1667882760.735950,17
1667882760.842180,9
1667882760.946997,16
1667882761.053013,19
1667882761.157330,20
1667882761.263031,3
1667882761.368194,4
1667882761.473900,9
1667882761.594749,7
1667882761.699178,8
1667882761.809739,7
1667882761.918618,9
1667882762.027822,9
1667882762.134189,10
1667882762.242937,11
1667882762.349994,12
1667882762.455990,13
1667882762.561738,19
1667882762.667804,18
1667882762.773007,12
1667882762.878102,14
1667882762.983080,16
1667882763.088531,10
1667882763.193474,19
1667882763.298652,18
1667882763.406848,13
1667882763.512633,18
1667882763.619458,2
1667882763.724530,3
1667882763.829119,10
1667882763.934971,7
1667882764.040212,7
1667882764.146198,8
1667882764.250384,10
1667882764.355456,10
1667882764.460754,10
1667882764.566613,11
1667882764.673307,12
1667882764.780014,13
1667882764.888660,13
1667882764.993852,20
1667882765.104083,19
1667882765.339432,13
1667882765.453016,9
1667882765.563299,13
1667882765.669100,20
1667882765.774279,17
1667882765.880056,7
1667882765.985150,8
1667882766.092921,11
1667882766.198544,17
1667882766.304156,20
1667882766.408678,17
1667882766.513572,3
1667882766.619869,5
1667882766.725606,6
1667882766.833650,8
1667882766.940088,7
